Make,Chevrolet,,Make,Toyota,,"Ho: ?1 - ?2 = 0
Ha: ?1 - ?2 ? 0",,,,,,
,,,,,,,,,,,,
Row Labels,Sum of Annual Fuel Cost (FT1),,Row Labels,Sum of Annual Fuel Cost (FT1),,,,,,,,
2743,"$2,700",,8246,"$1,950",,,,,,,,
2744,"$2,700",,8247,"$1,950",,,,,,,,
2745,"$2,150",,8248,"$1,950",,,,,,,,
2746,"$1,750",,8345,"$2,050",,,,,,,,
2747,"$1,750",,8346,"$1,950",,,,,,,,
2748,"$1,600",,8347,"$2,350",,,,,,,,
2749,"$2,050",,8348,"$2,350",,,,,,,,
2750,"$2,050",,8417,"$1,950",,,,,,,,
2751,"$2,050",,8418,"$1,950",,,,,,,,
2790,"$2,700",,8419,"$2,050",,,,,,,,
2791,"$2,500",,8420,"$2,050",,,,,,,,
2792,"$2,900",,8466,"$1,950",,,,,,,,
2793,"$2,250",,8467,"$2,050",,,,,,,,
2794,"$2,900",,8540,"$2,900",,,,,,,,
2795,"$2,900",,8541,"$2,050",,,,,,,,
2796,"$3,200",,8542,"$1,950",,,,,,,,
2797,"$2,400",,8543,"$2,500",,,,,,,,
2798,"$1,850",,8544,"$2,350",,,,,,,,
2799,"$1,650",,8554,"$3,500",,,,,,,,
2800,"$1,750",,8555,"$3,200",,,,,,,,
2801,"$2,200",,8591,"$2,100",,,,,,,,
2802,"$2,200",,8592,"$1,600",,,,,,,,
2803,"$2,050",,8593,"$1,600",,,,,,,,
2877,"$2,050",,8612,"$1,650",,,,,,,,
2878,"$2,700",,8613,"$1,600",,,,,,,,
2879,"$2,700",,8614,"$1,600",,,,,,,,
2895,"$2,050",,8615,"$1,400",,,,,,,,
2896,"$2,050",,8616,"$1,300",,,,,,,,
2935,$750,,8808,"$1,450",,,,,,,,
2936,"$1,050",,8809,"$1,400",,,,,,,,
2973,"$1,750",,8810,"$2,250",,,,,,,,
2974,"$1,950",,8811,"$1,650",,,,,,,,
2975,"$1,950",,8812,"$1,600",,,,,,,,
2976,"$2,050",,8813,"$1,600",,,,,,,,
2977,"$1,950",,8814,"$1,450",,,,,,,,
2978,"$1,950",,8815,"$1,400",,,,,,,,
2979,"$2,050",,8816,"$1,300",,,,,,,,
2980,"$1,450",,8817,"$2,350",,,,,,,,
2981,"$1,400",,8818,"$2,350",,,,,,,,
2982,"$1,400",,8819,"$2,350",,,,,,,,
2983,"$1,750",,8820,"$2,350",,,,,,,,
2984,"$1,750",,8821,"$1,450",,,,,,,,
2985,"$1,450",,8822,"$1,150",,,,,,,,
2986,"$1,300",,8823,"$1,250",,,,,,,,
2987,"$1,300",,8974,"$2,250",,,,,,,,
2988,"$1,250",,9072,"$1,650",,,,,,,,
2989,"$1,050",,9073,"$1,600",,,,,,,,
2990,"$1,300",,9074,"$1,600",,,,,,,,
2991,"$1,050",,9075,"$1,850",,,,,,,,
2992,$900,,9076,"$1,850",,,,,,,,
3187,"$1,450",,9135,"$1,500",,,,,,,,
3188,"$1,400",,9136,"$1,650",,,,,,,,
3189,"$1,750",,9137,"$1,450",,,,,,,,
3190,"$1,750",,9138,"$1,300",,,,,,,,
3191,"$1,450",,9177,"$1,650",,,,,,,,
3192,"$1,400",,9178,"$1,850",,,,,,,,
3193,"$1,400",,9313,"$1,750",,,,,,,,
3194,"$1,750",,9314,"$1,650",,,,,,,,
3195,"$1,750",,9315,"$1,950",,,,,,,,
3196,"$1,450",,9316,"$1,950",,,,,,,,
3197,"$1,400",,9317,"$1,950",,,,,,,,
3198,"$1,750",,9318,"$1,950",,,,,,,,
3199,"$1,750",,9406,"$2,050",,,,,,,,
3200,"$1,350",,9407,"$1,950",,,,,,,,
3201,"$1,250",,9408,"$2,700",,,,,,,,
3367,"$1,500",,9409,"$2,350",,,,,,,,
3368,"$1,750",,9482,"$2,050",,,,,,,,
3369,"$1,650",,9483,"$1,950",,,,,,,,
3370,"$1,750",,9484,"$2,050",,,,,,,,
3371,"$1,850",,9485,"$2,050",,,,,,,,
3372,"$1,850",,9541,"$2,050",,,,,,,,
3373,"$1,950",,9613,"$3,200",,,,,,,,
3463,"$1,950",,9614,"$2,050",,,,,,,,
3464,"$1,850",,9615,"$1,950",,,,,,,,
3465,"$2,050",,9616,"$2,700",,,,,,,,
3466,"$1,950",,9617,"$2,500",,,,,,,,
